"Date","Price","Open","High","Low","Vol.","Change %"
"11-04-2025","75,157.26","74,835.49","75,467.33","74,762.84","14.23M","1.77%"
"09-04-2025","73,847.15","74,103.83","74,103.83","73,673.06","9.15M","-0.51%"
"08-04-2025","74,227.08","74,013.73","74,859.39","73,424.92","17.06M","1.49%"
"07-04-2025","73,137.90","71,449.94","73,403.99","71,425.01","29.37M","-2.95%"
"04-04-2025","75,364.69","76,160.09","76,258.12","75,240.55","11.68M","-1.22%"
"03-04-2025","76,295.36","75,811.86","76,493.74","75,807.55","6.92M","-0.42%"
"02-04-2025","76,617.44","76,146.28","76,680.35","76,064.94","10.75M","0.78%"
"01-04-2025","76,024.51","76,882.58","77,487.05","75,912.18","10.59M","-1.80%"
"28-03-2025","77,414.92","77,690.69","77,766.70","77,185.62","16.70M","-0.25%"
"27-03-2025","77,606.43","77,087.39","77,747.46","77,082.51","12.67M","0.41%"
"26-03-2025","77,288.50","78,021.45","78,167.87","77,194.22","10.48M","-0.93%"
"25-03-2025","78,017.19","78,296.28","78,741.69","77,745.63","12.67M","0.04%"
"24-03-2025","77,984.38","77,456.27","78,107.23","77,179.35","10.10M","1.40%"
"21-03-2025","76,905.51","76,155.00","77,041.94","76,095.26","8.52M","0.73%"
"20-03-2025","76,348.06","75,917.11","76,456.25","75,684.58","9.06M","1.19%"
"19-03-2025","75,449.05","75,473.17","75,568.38","75,201.48","12.19M","0.20%"
"18-03-2025","75,301.26","74,608.66","75,385.76","74,480.15","14.52M","1.53%"
"17-03-2025","74,169.95","73,830.03","74,376.35","73,796.06","7.37M","0.46%"